Rowid_,GRID_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,130,8988590,898859000.000000000000000,12,99,87,50.297274989736991,9.651959967527359,452101583.000000000000000,30,43,41,53
,131,8953905,895390500.000000000000000,12,99,87,47.204224078767865,18.442950006234707,422662138.000000000000000,26,43,90,44
,132,8918407,891840700.000000000000000,0,99,99,38.717077164116866,22.213195447801688,345294652.000000000000000,36,14,0,40
,133,8943497,894349700.000000000000000,0,99,99,52.355423163892155,22.435749609488589,468240570.000000000000000,34,43,0,53
,134,8984327,898432700.000000000000000,12,99,87,59.690129266221057,13.276003539812864,536275640.000000000000000,27,53,29,53
,135,8988181,898818100.000000000000000,35,99,64,64.841317280993792,11.765390520539938,582805496.000000000000000,17,53,35,68
,136,8957557,895755700.000000000000000,14,99,85,63.382181659575259,16.677651701741421,567749505.000000000000000,22,68,33,68
,137,8949978,894997800.000000000000000,0,99,99,59.515106629312385,22.320831552892432,532658895.000000000000000,28,68,0,68
,138,8992131,899213100.000000000000000,0,99,99,55.975096559425126,21.539204052533293,503335401.000000000000000,30,43,81,43
,139,8985999,898599900.000000000000000,0,99,99,51.245108640675340,23.600127830115948,460488495.000000000000000,27,43,31,43
,140,8976414,897641400.000000000000000,14,99,85,56.080115957218553,24.524745862022602,503398338.000000000000000,29,43,63,50
,141,8501790,850179000.000000000000000,14,99,85,61.052834755974921,20.552550309892339,519058380.000000000000000,26,43,52,68
,142,3879668,387966800.000000000000000,0,99,99,62.427992807631995,22.904590312839307,242199886.000000000000000,34,43,30,65
,143,4759721,475972100.000000000000000,0,99,99,55.967538643546547,20.302953918801091,266389869.000000000000000,28,43,42,43
,145,6799121,679912100.000000000000000,12,99,87,41.825851900561851,17.550789230596404,284379028.000000000000000,22,43,40,43
,146,8986030,898603000.000000000000000,12,99,87,52.310966578121821,13.708421774581826,470067915.000000000000000,31,43,46,44
,147,8983844,898384400.000000000000000,12,99,87,46.629309792111258,17.271563747162883,418910445.000000000000000,26,43,89,43
,148,8977297,897729700.000000000000000,12,99,87,47.087627935223708,18.819276288071269,422719621.000000000000000,31,43,89,43
,149,8986499,898649900.000000000000000,14,99,85,59.693956790069194,20.595759534970615,536439683.000000000000000,25,53,40,53
,150,8954662,895466200.000000000000000,14,99,85,64.195671148726774,15.112304315377282,574850537.000000000000000,22,53,44,68
,151,8980293,898029300.000000000000000,20,99,79,67.420346975315837,12.067103894371739,605454470.000000000000000,15,68,66,68
,152,8979384,897938400.000000000000000,14,99,85,65.118795788218875,13.819825976328900,584726673.000000000000000,20,68,30,68
,153,8962162,896216200.000000000000000,14,99,85,58.834947080849467,17.223685417782043,527288327.000000000000000,24,68,30,65
,154,8972138,897213800.000000000000000,14,99,85,58.916777361204211,17.847771193572008,528609457.000000000000000,25,43,74,65
,155,9002609,900260900.000000000000000,0,99,99,47.634908502635177,18.957376641220382,428838456.000000000000000,23,43,0,43
,156,9000871,900087100.000000000000000,14,99,85,49.427525847220785,24.906495244249751,444890784.000000000000000,25,43,21,43
,157,8976983,897698300.000000000000000,14,99,85,59.054732976546795,23.034885925158157,530133334.000000000000000,26,43,20,65
,158,5201625,520162500.000000000000000,14,99,85,64.712275683079810,19.668747394297551,336608991.000000000000000,24,43,83,68
,159,3665329,366532900.000000000000000,0,99,99,44.718571238761925,18.459101949476779,163908276.000000000000000,23,32,79,40
,160,722797,72279700.000000000000000,0,99,99,55.607508055512127,23.632366521971221,40192940.000000000000000,23,33,34,43
,161,5393423,539342300.000000000000000,14,99,85,44.501829728541594,21.324195559445432,240017192.000000000000000,27,43,35,43
,162,8952268,895226800.000000000000000,12,99,87,53.354701065696425,19.312321815083060,477645583.000000000000000,31,43,12,43
,163,8991810,899181000.000000000000000,12,99,87,49.228709792577909,15.007191206529008,442655205.000000000000000,25,43,89,43
,164,8986051,898605100.000000000000000,12,99,87,54.205339475593895,21.918794710877023,487091945.000000000000000,35,43,20,53
,165,8993207,899320700.000000000000000,14,99,85,64.507785821009122,20.979848519236135,580131871.000000000000000,30,68,52,68
,166,8974613,897461300.000000000000000,14,99,85,70.997951666550975,14.172647137108887,637179140.000000000000000,19,68,67,68
,167,8931869,893186900.000000000000000,20,99,79,66.065974881628918,17.591857596505232,590092633.000000000000000,18,68,92,68
,168,9001282,900128200.000000000000000,20,99,79,66.603709560482613,14.584666187645443,599518772.000000000000000,18,68,94,68
,169,8993125,899312500.000000000000000,20,99,79,61.077787532142608,18.314285879049407,549280178.000000000000000,13,43,65,53
,170,8997590,899759000.000000000000000,20,99,79,60.281753336171128,19.828824252445660,542390501.000000000000000,12,43,66,68
,171,9003731,900373100.000000000000000,14,99,85,50.429490285749317,19.254972242723767,454053565.000000000000000,17,43,63,43
,172,8998334,899833400.000000000000000,14,99,85,47.005395220937565,22.575130989030768,422970246.000000000000000,26,43,91,43
,173,8995221,899522100.000000000000000,14,99,85,41.014400757913563,30.424337340653292,368933599.000000000000000,24,14,53,30
,174,3460964,346096400.000000000000000,14,99,85,61.539476862515762,25.919492546506802,212985914.000000000000000,20,43,40,68
,175,186747,18674700.000000000000000,0,99,99,43.131038249610434,19.306742635299422,8054592.000000000000000,16,40,66,40
,176,1811339,181133900.000000000000000,0,99,99,43.368561600009720,16.568072222863236,78555167.000000000000000,22,43,68,40
,177,6906050,690605000.000000000000000,14,99,85,43.360834920106285,25.185475889831551,299452094.000000000000000,33,43,41,43
,178,8968973,896897300.000000000000000,14,99,85,53.168635249543065,21.882771697363371,476868054.000000000000000,29,43,84,43
,179,8980923,898092300.000000000000000,14,99,85,54.479380905503810,16.797490555355278,489275125.000000000000000,23,43,85,53
,180,8994500,899450000.000000000000000,0,99,99,54.297022847295572,17.855479681563139,488374572.000000000000000,28,43,69,53
,181,8993791,899379100.000000000000000,14,99,85,64.490528076536364,17.931423217648696,580014331.000000000000000,22,53,85,68
,182,8998906,899890600.000000000000000,0,99,99,69.558678132653014,16.444535007871178,625952006.000000000000000,19,68,0,68
