Rowid_,GRID_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,136,9000000,900000000.028183221817017,1115,1442,327,1250.716462222222162,74.588500565105747,11256448160.000000000000000,328,1145,1115,1257
,137,9000000,900000000.028183221817017,1083,1923,840,1211.446863555555638,64.648941958055332,10903021772.000000000000000,841,1115,1083,1207
,138,9000000,900000000.028183221817017,966,1441,475,1197.693142222222150,74.856928258540322,10779238280.000000000000000,475,1200,1438,1203
,139,9000000,900000000.028183221817017,788,1292,504,963.732455555555589,85.011476327043596,8673592100.000000000000000,505,950,1287,957
,140,9000000,900000000.028183221817017,734,1061,327,846.756165444444491,40.159219383440515,7620805489.000000000000000,328,802,1057,840
,141,9000000,900000000.028183221817017,568,925,357,700.984807555555562,81.473257874870981,6308863268.000000000000000,358,580,921,703
,142,9000000,900000000.028183221817017,576,914,338,621.483369000000039,71.324896802268668,5593350321.000000000000000,339,580,576,580
,143,8931002,893100200.027967214584351,570,838,268,624.558214296671281,52.991814941373995,5577930661.000000000000000,269,579,570,594
,144,1551816,155181600.004859477281570,577,579,2,577.513337277099822,0.859487636097612,896194437.000000000000000,3,577,578,577
,145,9000000,900000000.028183221817017,665,1165,500,935.397046111111081,94.077364528982031,8418573415.000000000000000,501,670,665,941
,146,9000000,900000000.028183221817017,920,1330,410,1142.705825666666669,71.231137871450485,10284352431.000000000000000,411,1160,1330,1147
,147,9000000,900000000.028183221817017,798,1334,536,1014.146205333333342,90.531343894442259,9127315848.000000000000000,536,919,1324,999
,148,9000000,900000000.028183221817017,799,1365,566,1037.527422666666780,72.965396253577794,9337746804.000000000000000,567,1020,1365,1034
,149,9000000,900000000.028183221817017,890,1279,389,1064.801268555555453,74.762542449276140,9583211417.000000000000000,384,898,1254,1077
,150,9000000,900000000.028183221817017,1048,1621,573,1242.940098222222332,71.101069107442783,11186460884.000000000000000,574,1260,1617,1243
,151,9000000,900000000.028183221817017,1229,1572,343,1396.593258999999989,60.100159874838269,12569339331.000000000000000,344,1450,1229,1396
,152,9000000,900000000.028183221817017,1188,1552,364,1394.045280333333267,60.856738989771578,12546407523.000000000000000,365,1410,1188,1404
,153,9000000,900000000.028183221817017,1159,1542,383,1347.081117111111098,86.351007135688093,12123730054.000000000000000,384,1170,1159,1353
,154,9000000,900000000.028183221817017,1198,1690,492,1423.577263333333349,78.953285259487842,12812195370.000000000000000,493,1490,1687,1447
,155,9000000,900000000.028183221817017,865,1669,804,1233.399788888888907,146.316836898408638,11100598100.000000000000000,805,1280,1668,1239
,156,9000000,900000000.028183221817017,775,1280,505,919.809250000000020,90.356585808019247,8278283250.000000000000000,502,880,1272,890
,157,9000000,900000000.028183221817017,599,1003,404,750.723467777777728,72.978354686982428,6756511210.000000000000000,394,730,984,730
,158,9000000,900000000.028183221817017,577,770,193,612.059750222222192,39.846375573637992,5508537752.000000000000000,194,579,770,600
,159,9000000,900000000.028183221817017,573,858,285,624.473597888888889,66.030331554148432,5620262381.000000000000000,285,579,573,579
,160,5797186,579718600.018153786659241,577,724,147,582.260138280883211,15.203699120578666,3375470322.000000000000000,148,577,724,577
,161,8991352,899135200.028156161308289,668,1262,594,977.049819982578811,101.635848499436577,8784998853.000000000000000,595,940,668,961
,162,9000000,900000000.028183221817017,952,1334,382,1150.063749222222214,68.241681548685705,10350573743.000000000000000,383,1140,1333,1150
,163,9000000,900000000.028183221817017,983,1371,388,1157.151547333333383,65.334985697344919,10414363926.000000000000000,389,1120,983,1162
,164,9000000,900000000.028183221817017,991,1614,623,1135.138946999999916,78.673317864714775,10216250523.000000000000000,624,1080,1607,1111
,165,9000000,900000000.028183221817017,1002,1532,530,1119.574801666666644,47.788125199091603,10076173215.000000000000000,531,1070,1532,1118
,166,9000000,900000000.028183221817017,1097,1604,507,1264.214959777777722,67.969192306062453,11377934638.000000000000000,507,1257,1097,1264
,167,9000000,900000000.028183221817017,1289,1948,659,1495.140906111111008,90.503372714446968,13456268155.000000000000000,660,1500,1930,1486
,168,9000000,900000000.028183221817017,1281,1951,670,1519.508524555555596,91.043240724143018,13675576721.000000000000000,670,1490,1936,1506
,169,9000000,900000000.028183221817017,1272,1931,659,1488.865746777777758,109.672488744976178,13399791721.000000000000000,660,1460,1928,1471
,170,9000000,900000000.028183221817017,1387,1859,472,1603.935964111111161,71.501833098214675,14435423677.000000000000000,473,1530,1387,1600
,171,9000000,900000000.028183221817017,1198,1906,708,1553.173440333333247,102.935081382533198,13978560963.000000000000000,704,1560,1896,1560
,172,9000000,900000000.028183221817017,892,1767,875,1218.210331888888959,170.726344263908942,10963892987.000000000000000,876,1340,892,1218
,173,9000000,900000000.028183221817017,643,1266,623,845.569461666666712,113.787391542146324,7610125155.000000000000000,624,920,1266,868
,174,9000000,900000000.028183221817017,579,838,259,679.966625000000022,32.893907970227851,6119699625.000000000000000,260,680,837,680
,175,6692627,669262700.020957827568054,577,788,211,588.114949779809876,27.057956382028429,3936033992.000000000000000,212,579,788,579
,176,8878280,887828000.027802109718323,567,791,224,591.528216050856713,32.282756489311083,5251753130.000000000000000,225,579,568,579
,177,9000000,900000000.028183221817017,751,1325,574,969.818637888888929,128.200840240382860,8728367741.000000000000000,575,880,1325,939
,178,9000000,900000000.028183221817017,979,1420,441,1206.833690888888896,73.778005903231701,10861503218.000000000000000,442,1151,1415,1210
,179,9000000,900000000.028183221817017,1055,1485,430,1270.823827333333384,66.047118080556416,11437414446.000000000000000,431,1310,1485,1273
,180,9000000,900000000.028183221817017,1095,1801,706,1352.396353999999974,154.031346953058204,12171567186.000000000000000,707,1223,1801,1312
,181,9000000,900000000.028183221817017,1060,1744,684,1232.659158444444529,98.383321562653705,11093932426.000000000000000,685,1200,1727,1212
,182,9000000,900000000.028183221817017,1179,1623,444,1374.037307111111204,61.071356202408637,12366335764.000000000000000,445,1410,1180,1378
,183,9000000,900000000.028183221817017,1298,1783,485,1514.723080444444349,65.491535658382830,13632507724.000000000000000,484,1510,1298,1506
,184,9000000,900000000.028183221817017,1434,1816,382,1587.182984999999917,73.780100952771335,14284646865.000000000000000,382,1530,1434,1573
,185,9000000,900000000.028183221817017,1434,1750,316,1548.457967777777867,56.349486510160560,13936121710.000000000000000,317,1460,1748,1552
,186,9000000,900000000.028183221817017,1520,1807,287,1618.856781222222253,39.091536942062298,14569711031.000000000000000,288,1590,1805,1615
,187,9000000,900000000.028183221817017,1478,1936,458,1631.582388222222335,67.781454480660770,14684241494.000000000000000,459,1599,1929,1625
,188,9000000,900000000.028183221817017,1106,1764,658,1427.397974444444344,106.769639742700377,12846581770.000000000000000,659,1480,1764,1445
,189,9000000,900000000.028183221817017,727,1385,658,1041.790241222222221,124.802698502831021,9376112171.000000000000000,659,1180,727,1034
,190,7227784,722778400.022633671760559,679,1032,353,815.503383194627872,61.799353606920391,5894282305.000000000000000,354,820,679,817
,191,16564,1656400.000051869777963,577,763,186,631.819669162038167,73.180461061510371,10465461.000000000000000,65,577,714,577
,192,3893290,389329000.012191712856293,573,743,170,579.141756457905785,6.651360998180888,2254766809.000000000000000,171,579,575,579
,193,8933409,893340900.027974724769592,774,1061,287,922.651378661829995,39.270487756465819,8242422130.000000000000000,288,940,1057,930
,194,9000000,900000000.028183221817017,862,1222,360,989.080616999999961,33.856784127481170,8901725553.000000000000000,361,980,1222,985
,195,9000000,900000000.028183221817017,957,1404,447,1106.905716777777798,88.837394820891362,9962151451.000000000000000,448,1050,1403,1086
,196,9000000,900000000.028183221817017,1053,1622,569,1278.364100555555524,94.058388284482533,11505276905.000000000000000,570,1287,1622,1291
,197,9000000,900000000.028183221817017,1189,1641,452,1351.092507999999953,63.917392908894257,12159832572.000000000000000,453,1313,1641,1343
