"Grid_30km","Both","North","South","Sprop","Nprop","NBprop","SBprop","Bprop"
151,530,2075,9,0.0166975881261596,0.995681381957774,0.995681381957774,0.0166975881261596,0.202754399387911
152,702,1744,9,0.0126582278481013,0.994865944095836,0.994865944095836,0.0126582278481013,0.285947046843177
153,631,1681,24,0.0366412213740458,0.985923753665689,0.985923753665689,0.0366412213740458,0.270119863013699
154,821,1605,11,0.0132211538461538,0.993193069306931,0.993193069306931,0.0132211538461538,0.336889618383258
155,879,1673,12,0.0134680134680135,0.992878338278932,0.992878338278932,0.0134680134680135,0.342823712948518
156,538,1861,84,0.135048231511254,0.95681233933162,0.95681233933162,0.135048231511254,0.216673378977044
157,513,1847,32,0.0587155963302752,0.982969664715274,0.982969664715274,0.0587155963302752,0.214464882943144
158,243,900,44,0.153310104529617,0.953389830508475,0.953389830508475,0.153310104529617,0.204717775905644
159,305,462,13,0.0408805031446541,0.972631578947368,0.972631578947368,0.0408805031446541,0.391025641025641
160,19,113,0,0,1,1,0,0.143939393939394
161,692,115,426,0.381037567084079,0.212569316081331,0.212569316081331,0.381037567084079,0.561232765612328
162,1134,653,403,0.262199089134678,0.618371212121212,0.618371212121212,0.262199089134678,0.517808219178082
163,990,809,428,0.301833568406206,0.654001616814875,0.654001616814875,0.301833568406206,0.444544229905703
164,786,1026,433,0.355209187858901,0.703221384509938,0.703221384509938,0.355209187858901,0.35011135857461
165,509,1661,56,0.0991150442477876,0.967384973791497,0.967384973791497,0.0991150442477876,0.228661275831087
166,421,2041,8,0.0186480186480186,0.996095656417765,0.996095656417765,0.0186480186480186,0.170445344129555
167,222,2130,6,0.0263157894736842,0.997191011235955,0.997191011235955,0.0263157894736842,0.094147582697201
168,339,2238,3,0.0087719298245614,0.998661311914324,0.998661311914324,0.0087719298245614,0.131395348837209
169,510,2264,11,0.0211132437619962,0.995164835164835,0.995164835164835,0.0211132437619962,0.183123877917415
170,490,1810,4,0.00809716599190283,0.997794928335171,0.997794928335171,0.00809716599190283,0.212673611111111
171,740,1587,5,0.00671140939597315,0.996859296482412,0.996859296482412,0.00671140939597315,0.317324185248714
172,634,1864,15,0.0231124807395994,0.992017030335285,0.992017030335285,0.0231124807395994,0.252288101870275
173,884,1220,51,0.0545454545454545,0.959874114870181,0.959874114870181,0.0545454545454545,0.410208816705336
174,139,638,7,0.0479452054794521,0.989147286821705,0.989147286821705,0.0479452054794521,0.177295918367347
175,8,20,4,0.333333333333333,0.833333333333333,0.833333333333333,0.333333333333333,0.25
176,107,231,5,0.0446428571428571,0.978813559322034,0.978813559322034,0.0446428571428571,0.311953352769679
177,969,416,284,0.226656025538707,0.594285714285714,0.594285714285714,0.226656025538707,0.580587177950869
178,1070,867,229,0.176289453425712,0.791058394160584,0.791058394160584,0.176289453425712,0.493998153277932
179,1051,1347,118,0.100940975192472,0.919453924914676,0.919453924914676,0.100940975192472,0.417726550079491
180,1017,1118,247,0.195411392405063,0.819047619047619,0.819047619047619,0.195411392405063,0.426952141057934
181,545,1798,20,0.0353982300884956,0.988998899889989,0.988998899889989,0.0353982300884956,0.230639018197207
182,419,1783,0,0,1,1,0,0.190281562216167
183,331,1862,3,0.00898203592814371,0.998391420911528,0.998391420911528,0.00898203592814371,0.150728597449909
184,319,2216,5,0.0154320987654321,0.997748761819,0.997748761819,0.0154320987654321,0.125590551181102
185,613,1580,17,0.026984126984127,0.989355040701315,0.989355040701315,0.026984126984127,0.27737556561086
186,415,1782,1,0.00240384615384615,0.999439147504206,0.999439147504206,0.00240384615384615,0.188808007279345
187,602,1721,12,0.0195439739413681,0.993075591459896,0.993075591459896,0.0195439739413681,0.257815845824411
188,903,1805,6,0.0066006600660066,0.996686913307565,0.996686913307565,0.0066006600660066,0.332719233603537
189,711,1838,30,0.0404858299595142,0.983940042826552,0.983940042826552,0.0404858299595142,0.275688251260178
190,78,410,5,0.0602409638554217,0.987951807228916,0.987951807228916,0.0602409638554217,0.158215010141988
193,699,361,154,0.180539273153576,0.700970873786408,0.700970873786408,0.180539273153576,0.575782537067545
194,719,1116,361,0.334259259259259,0.755585646580907,0.755585646580907,0.334259259259259,0.327413479052823
195,792,1228,376,0.321917808219178,0.765586034912718,0.765586034912718,0.321917808219178,0.330550918196995
196,942,1363,176,0.15742397137746,0.885640025990903,0.885640025990903,0.15742397137746,0.379685610640871
197,391,1968,17,0.0416666666666667,0.991435768261965,0.991435768261965,0.0416666666666667,0.16456228956229
198,307,2039,1,0.00324675324675325,0.999509803921569,0.999509803921569,0.00324675324675325,0.130805283340435
199,256,1963,2,0.00775193798449612,0.998982188295165,0.998982188295165,0.00775193798449612,0.115263394867177
200,256,1870,13,0.0483271375464684,0.993096123207647,0.993096123207647,0.0483271375464684,0.119682094436653
201,510,1537,30,0.0555555555555556,0.98085513720485,0.98085513720485,0.0555555555555556,0.245546461242176
202,316,1730,7,0.021671826625387,0.995970063327576,0.995970063327576,0.021671826625387,0.153921091086215
203,540,1711,2,0.003690036900369,0.998832457676591,0.998832457676591,0.003690036900369,0.239680426098535
204,727,1485,9,0.0122282608695652,0.993975903614458,0.993975903614458,0.0122282608695652,0.327330031517335
205,345,734,5,0.0142857142857143,0.993234100135318,0.993234100135318,0.0142857142857143,0.318265682656827
206,2,10,0,0,1,1,0,0.166666666666667
209,2,0,0,0,NA,NA,0,1
210,462,537,32,0.0647773279352227,0.943760984182777,0.943760984182777,0.0647773279352227,0.448108632395732
211,1272,798,59,0.0443275732531931,0.931155192532089,0.931155192532089,0.0443275732531931,0.597463597933302
212,790,1419,21,0.0258939580764488,0.985416666666667,0.985416666666667,0.0258939580764488,0.354260089686099
213,577,1510,15,0.0253378378378378,0.99016393442623,0.99016393442623,0.0253378378378378,0.274500475737393
214,319,1959,2,0.00623052959501558,0.998980112187659,0.998980112187659,0.00623052959501558,0.139912280701754
215,438,1890,2,0.00454545454545455,0.998942917547569,0.998942917547569,0.00454545454545455,0.187982832618026
216,284,1763,16,0.0533333333333333,0.991006183249016,0.991006183249016,0.0533333333333333,0.137663596703829
217,308,1319,22,0.0666666666666667,0.983594332587621,0.983594332587621,0.0666666666666667,0.18677986658581
218,301,886,15,0.0474683544303797,0.983351831298557,0.983351831298557,0.0474683544303797,0.250415973377704
219,125,195,0,0,1,1,0,0.390625
220,12,18,0,0,1,1,0,0.4
226,154,712,2,0.0128205128205128,0.997198879551821,0.997198879551821,0.0128205128205128,0.17741935483871
227,598,1692,15,0.0244698205546493,0.991212653778559,0.991212653778559,0.0244698205546493,0.25943600867679
228,1313,800,76,0.05471562275018,0.91324200913242,0.91324200913242,0.05471562275018,0.599817268158977
229,562,1639,41,0.0679933665008292,0.975595238095238,0.975595238095238,0.0679933665008292,0.250669045495094
230,562,1859,8,0.0140350877192982,0.995715050883771,0.995715050883771,0.0140350877192982,0.231370934540963
231,758,1568,4,0.005249343832021,0.997455470737914,0.997455470737914,0.005249343832021,0.325321888412017
232,71,366,1,0.0138888888888889,0.997275204359673,0.997275204359673,0.0138888888888889,0.162100456621005
242,47,375,0,0,1,1,0,0.111374407582938
243,197,1195,7,0.0343137254901961,0.994176372712146,0.994176372712146,0.0343137254901961,0.140814867762688
244,373,1382,61,0.140552995391705,0.957726957726958,0.957726957726958,0.140552995391705,0.205396475770925
245,611,1583,97,0.137005649717514,0.942261904761905,0.942261904761905,0.137005649717514,0.26669576604103
246,258,874,8,0.0300751879699248,0.990929705215419,0.990929705215419,0.0300751879699248,0.226315789473684
247,28,94,0,0,1,1,0,0.229508196721311
261,91,287,15,0.141509433962264,0.950331125827815,0.950331125827815,0.141509433962264,0.231552162849873
262,226,599,14,0.0583333333333333,0.977161500815661,0.977161500815661,0.0583333333333333,0.269368295589988
263,29,113,4,0.121212121212121,0.965811965811966,0.965811965811966,0.121212121212121,0.198630136986301
0,8,0,0,0,NA,NA,0,1
